ISIN;nom;ticker
US0258161092;American Express Company;AXP
US0378331005;Apple Inc.;AAPL
US0970231058;Boeing;BA
US1491231015;Caterpillar Inc.;CAT
US1667641005;Chevron Corp.;CVX
US17275R1023;Cisco Systems, Inc.;CSCO
US1912161007;The Coca-Cola Company;KO
US2546871060;Walt Disney Company;DIS
US26078J1007;DOWDUPONT;DWDP
US30231G1022;Exxon Mobil Corporation;XOM
US38141G1040;GOLDMAN SACHS GROUP;GS
US4370761029;Home Depot;HD
US4581401001;Intel Corporation;INTC
US4592001014;IBM;IBM
US46625H1005;JPMorgan Chase Co.;JPM
US4781601046;Johnson et Johnson;JNJ
US5801351017;Mcdonald's Corporation;MCD
US58933Y1055;Merck Co;MRK
US5949181045;Microsoft Corporation;MSFT
US6541061031;NIKE INC B;NKE
US7170811035;Pfizer;PFE
US7427181091;The Procter Gamble Co.;PG
US88579Y1010;3M Company;MMM
US89417E1091;The Travelers Companies;TRV
US9130171096;United Technologies;UTX
US91324P1021;UNITEDHEALTH GROUP ;UNH
US92343V1044;Verizon;VZ
US92826C8394;VISA INC;V
US9311421039;Wal-Mart Stores;WMT
US9314271084;WALGREENS BOOTS AL;WBA
