ISIN,nom,ticker
FR0000120404,Accor Hotels,AC
FR0000045072,Credit Agricole,ACA
FR0010340141,Adp,ADP
FR0000031122,Air France - KLM,AF
FR0000120073,Air Liquide,AI
NL0000235190,Airbus,AIR
FR0010313833,Arkema,AKE
FR0013258662,Ald,ALD
FR0010220475,Alstom,ALO
FR0000034639,Altran Techn.,ALT
FR0000121725,Dassault Aviation,AM
FR0004125920,Amundi,AMUN
LU0569974404,Aperam,APAM
FR0000071946,Alten,ATE
FR0000051732,Atos,ATO
FR0000120966,Bic,BB
FR0013280286,Biomerieux,BIM
FR0000120644,Danone,BN
FR0000131104,Bnp Paribas,BNP
FR0000039299,Bollore,BOL
FR0006174348,Bureau Veritas,BVI
FR0000120172,Carrefour,CA
FR0000125338,CapGemini,CAP
FR0013181864,CGG,CGG
FR0000120222,Cnp Assurances,CNP
FR0000125585,Casino Guichard,CO
FR0010667147,Coface,COFA
FR0000064578,Covivio,COV
FR0000120628,Axa,CS
FR0010417345,Dbv Technologies,DBV
FR0000077919,Jc Decaux Sa.,DEC
FR0000125486,Vinci,DG
FR0013154002,Sartorius Stedim Biotech,DIM
FR0000130650,Dassault Systemes,DSY
FR0010908533,Edenred,EDEN
FR0010242511,EDF,EDF
FR0000121667,EssilorLuxottica,EL
FR0011950732,Elior Group,ELIOR
FR0012435121,Elis,ELIS
FR0000120503,Bouygues,EN
FR0010208488,Engie,ENGI
NL0006294274,Euronext,ENX
FR0000121147,Faurecia,EO
FR0000131757,Eramet,ERA
FR0000038259,Eurofins Scient.,ERF
FR0010221234,Eutelsat Com.,ETL
FR0012789949,Europcar Mobility,EUCAR
FR0000130452,Eiffage,FGR
FR0011476928,Fnac Darty,FNAC
FR0000120271,Total,FP
FR0013176526,Valeo,FR
GB00BDSFG982,TechnipFMC,FTI
FR0010533075,Getlink (ex: Eurotunnel),GET
FR0010040865,Gecina Nom.,GFC
FR0000130809,Societe Generale,GLE
FR0004163111,Genfit,GNFT
FR0011726835,GTT,GTT
FR0000121329,Thales,HO
FR0000035081,Icade,ICAD
FR0004035913,Iliad,ILD
FR0000125346,Ingenico Group,ING
FR0010259150,Ipsen,IPN
FR0000073298,Ipsos,IPS
FR0000121485,Kering,KER
FR0000120685,Natixis,KN
FR0010386334,Korian,KORI
FR0000121964,Klepierre,LI
FR0010307819,Legrand SA,LR
FR0000121014,Lvmh,MC
FR0013153541,Maisons du Monde,MDM
FR0010241638,Mercialys,MERY
FR0000121204,Wendel Invest.,MF
FR0000121261,Michelin,ML
FR0000130213,Lagardere,MMB
FR0000053225,Metropole Tv,MMT
LU1598757687,Arcelor Mittal,MT
FR0000044448,Nexans,NEX
FR0000120859,Imerys,NK
FR0010112524,Nexity,NXI
FR0000120321,L'oreal,OR
FR0000133308,Orange,ORA
FR0000184798,Orpea,ORP
FR0000124570,Plastic Omnium,POM
FR0000130577,Publicis Groupe,PUB
FR0000120560,Quadient,QDT
FR0000130395,Remy Cointreau,RCO
FR0000121121,Eurazeo,RF
FR0000120693,Pernod Ricard,RI
FR0000052292,Hermes,RMS
FR0000131906,Renault,RNO
FR0000031684,Rothschild & Co,ROTH
FR0013269123,Rubis,RUI
FR0010451203,Rexel,RXL
FR0000073272,Safran,SAF
FR0000120578,Sanofi,SAN
FR0010411983,Scor,SCR
LU0088087324,SES Sa,SESG
FR0010613471,Suez Environnement,SEV
FR0000125007,Saint Gobain,SGO
FR0000121709,Seb,SK
FR0013227113,Soitec Silicon,SOI
BE0003470755,Solvay,SOLB
FR0000050809,Sopra Steria Group,SOP
FR0012757854,Spie,SPIE
NL0000226223,Stmicroelectronics,STM
FR0000121972,Schneider Electric,SU
FR0000121220,Sodexo,SW
FR0010918292,Technicolor,TCH
FR0000051807,Teleperformance,TEP
FR0000054900,Tf1,TFI
FR0004188670,Tarkett,TKTT
FR0005691656,Trigano,TRI
FR0000054470,Ubisoft Entertainment,UBI
FR0000121501,Peugeot,UG
FR0013326246,Unibail Rodamco Wes,URW
FR0000031775,Vicat,VCT
FR0000124141,Veolia Environ.,VIE
FR0000127771,Vivendi,VIV
FR0000120354,Vallourec,VK
FR0011981968,Worldline,WLN
